DataType,BufSize,#ops,M01-Time,M01-Std,M32-Time,M32-Std,M64-Time,M64-Std,,M01-Ops/T,M32-Ops/T,M64-Ops/T,,M32/M01,M64/M01,M64/M32
char,0.50,73034632,122195.85,2705.100607,120152.95,2127.088608,119478.15,2018.668328,,597.69,607.85,611.28,,1.0170,1.0227,1.006
char,1.00,206425071,433687.7,5618.687467,425495.7,4532.376362,427621.8,4932.785704,,475.98,485.14,482.73,,1.0193,1.0142,0.995
char,1.50,379503424,858116.95,5456.92341,843606.55,3504.621723,850088.65,5462.021751,,442.25,449.86,446.43,,1.0172,1.0094,0.992
char,2.00,584277056,1324116.1,5797.405353,1299878.4,6406.407027,1308055.2,4871.910093,,441.26,449.49,446.68,,1.0186,1.0123,0.994
char,2.50,814780504,1888722.4,9010.255282,1824423.25,4349.581358,1831959.75,7642.768118,,431.39,446.60,444.76,,1.0352,1.0310,0.996
char,3.00,1073741824,3964465.7,14416.75932,3948941.95,11736.2389,3948025.25,12543.26491,,270.84,271.91,271.97,,1.0039,1.0042,1.000
char,3.50,1352899016,3174812.35,16129.7896,3040435.1,9783.329881,3052390.45,11221.91505,,426.14,444.97,443.23,,1.0442,1.0401,0.996
char,4.00,1651400568,3888276.95,27437.376,3713990.95,9945.979005,3721693.35,9414.059588,,424.71,444.64,443.72,,1.0469,1.0448,0.998
char,4.50,1971935064,4658647.9,23436.17276,4442972.1,8759.299154,4471050.1,14299.70713,,423.28,443.83,441.05,,1.0485,1.0420,0.994
char,5.00,2305199161,5477130.4,27389.79973,5220528.8,20315.53116,5235730.5,19299.0505,,420.88,441.56,440.28,,1.0492,1.0461,0.997
char,5.50,2662500456,6379674.25,31377.5929,6044262.2,9970.994157,6065368.5,24118.91264,,417.34,440.50,438.97,,1.0555,1.0518,0.997
char,6.00,3036027392,7145127.85,45402.99472,6892755.7,35079.96186,6919071,15047.14658,,424.91,440.47,438.79,,1.0366,1.0327,0.996
char,6.50,3422470843,8441381.55,112218.1399,7787288.2,17637.7285,7813924.65,29170.87112,,405.44,439.49,438.00,,1.0840,1.0803,0.997
char,7.00,3825694144,9738200.55,149157.8849,8700751.35,12300.33012,8723733.95,16814.58376,,392.85,439.70,438.54,,1.1192,1.1163,0.997
char,7.50,4243659659,11301025.9,295144.854,9666033.9,19288.16689,9681896.7,19663.51574,,375.51,439.03,438.31,,1.1691,1.1672,0.998
char,8.00,4674216448,12287713.9,229523.714,10682170.05,21735.62888,10734809.5,16607.82735,,380.40,437.57,435.43,,1.1503,1.1447,0.995
char,8.50,5115120067,15398432.05,426267.1525,11743733.3,68689.54755,11804529.4,89484.31248,,332.18,435.56,433.32,,1.3112,1.3045,0.995
char,9.00,5573476917,17975699.4,268394.1834,12751848.85,123646.0622,12733813.15,42350.96446,,310.06,437.07,437.69,,1.4097,1.4117,1.001
char,9.50,6048464248,20237304.15,241484.7943,14075220.2,177019.216,14104878.9,143795.2094,,298.88,429.72,428.82,,1.4378,1.4348,0.998
char,10.00,6528717909,23299185.05,552187.2049,15136578.15,575904.8744,15185814.55,525408.9742,,280.21,431.32,429.92,,1.5393,1.5343,0.997
float,0.50,73034632,19709.85,1227.714834,19883.9,1198.666009,20959.8,1348.210299,,3705.49,3673.05,3484.51,,0.9912,0.9404,0.949
float,1.00,206425071,58193,1806.971121,56019.5,1702.831651,55738.75,1884.23431,,3547.25,3684.88,3703.44,,1.0388,1.0440,1.005
float,1.50,379503424,105951.3,1815.118036,103002.1,2506.877674,102315.9,1828.178038,,3581.87,3684.42,3709.13,,1.0286,1.0355,1.007
float,2.00,584277056,162567.45,2546.642733,157805.9,2779.613962,157755.3,3018.463588,,3594.06,3702.50,3703.69,,1.0302,1.0305,1.000
float,2.50,814780504,226093.05,3897.98483,218255,1631.972878,219233.65,2503.708392,,3603.74,3733.16,3716.49,,1.0359,1.0313,0.996
float,3.00,1073741824,552256.5,4024.274887,551911.4,3746.58523,548978.7,2777.347999,,1944.28,1945.50,1955.89,,1.0006,1.0060,1.005
float,3.50,1352899016,402062.55,6086.357077,369780.75,3693.951769,370322.8,3461.354414,,3364.90,3658.65,3653.30,,1.0873,1.0857,0.999
float,4.00,1651400568,491929.2,3248.892744,451869.8,3252.915722,455513.5,3744.70632,,3356.99,3654.59,3625.36,,1.0887,1.0799,0.992
float,4.50,1971935064,598384.9,7282.790637,547306.95,4295.278871,552176,2943.927219,,3295.43,3602.98,3571.21,,1.0933,1.0837,0.991
float,5.00,2305199161,671954.05,9148.10656,646146.55,14683.89094,646657.9,11651.81384,,3430.59,3567.61,3564.79,,1.0399,1.0391,0.999
float,5.50,2662500456,839610.65,79366.90882,738365.1,5708.043023,747809.4,7389.81126,,3171.11,3605.94,3560.40,,1.1371,1.1228,0.987
float,6.00,3036027392,924253.6,63368.5394,851257.85,19297.8992,852243.55,7672.64804,,3284.84,3566.52,3562.39,,1.0858,1.0845,0.999
float,6.50,3422470843,1160036.6,97047.39692,944752.05,5374.251962,960925.1,9217.020771,,2950.31,3622.61,3561.64,,1.2279,1.2072,0.983
float,7.00,3825694144,1322201.05,158332.108,1067427.65,12100.81882,1078950.35,6924.426203,,2893.43,3584.03,3545.76,,1.2387,1.2255,0.989
float,7.50,4243659659,1738071.55,206653.006,1210158.75,11096.03194,1239628.65,18095.74519,,2441.59,3506.70,3423.33,,1.4362,1.4021,0.976
float,8.00,4674216448,1704816.6,48648.15281,1327477.6,7481.203537,1339825.85,4752.766223,,2741.77,3521.13,3488.67,,1.2843,1.2724,0.991
float,8.50,5115120067,2522832.95,110358.5036,1423092.65,8057.488033,1498839.45,8787.983317,,2027.53,3594.37,3412.72,,1.7728,1.6832,0.949
float,9.00,5573476917,2565839.85,58578.45829,1555827.65,9514.60883,1609513.25,7564.413992,,2172.18,3582.32,3462.83,,1.6492,1.5942,0.967
float,9.50,6048464248,3645174.4,76114.23516,1729982.1,23111.9113,1822827.65,10955.64958,,1659.31,3496.26,3318.18,,2.1071,1.9997,0.949
float,10.00,6528717909,3236517.65,171195.1649,1839834.85,14086.25581,1896282.4,11354.08096,,2017.20,3548.53,3442.90,,1.7591,1.7068,0.970
int,0.50,73034632,12650.6,364.998832,12932.35,1377.872436,13490.85,1207.738569,,5773.21,5647.44,5413.64,,0.9782,0.9377,0.959
int,1.00,206425071,49132.25,1579.456498,43114.6,1726.077769,41995.5,1614.046256,,4201.42,4787.82,4915.41,,1.1396,1.1699,1.027
int,1.50,379503424,86782.15,1760.290265,78737.55,1906.839945,78023.25,2174.507685,,4373.06,4819.85,4863.98,,1.1022,1.1123,1.009
int,2.00,584277056,135584.45,3249.236533,122875.15,3494.351431,124367.2,1871.767856,,4309.32,4755.05,4698.00,,1.1034,1.0902,0.988
int,2.50,814780504,195294.6,2773.59881,174925.1,3235.938616,174316.5,2239.233057,,4172.06,4657.88,4674.14,,1.1164,1.1203,1.003
int,3.00,1073741824,532380.45,4017.898292,530228.1,4504.011626,536474.7,35561.53411,,2016.87,2025.06,2001.48,,1.0041,0.9924,0.988
int,3.50,1352899016,367794.5,5112.424602,344195.65,4982.844973,347804.9,7478.525719,,3678.41,3930.61,3889.82,,1.0686,1.0575,0.990
int,4.00,1651400568,457487.3,5775.911257,431733.95,4571.410993,436441.65,10515.45208,,3609.72,3825.04,3783.78,,1.0597,1.0482,0.989
int,4.50,1971935064,563338.6,9446.697972,539043.5,16641.94177,536314.5,3565.559253,,3500.44,3658.21,3676.83,,1.0451,1.0504,1.005
int,5.00,2305199161,652276.6,14194.42989,624734.55,6415.733182,625034.1,4703.79485,,3534.08,3689.89,3688.12,,1.0441,1.0436,1.000
int,5.50,2662500456,766164.05,18414.50605,719512.4,5640.98884,723079.2,4933.73442,,3475.10,3700.42,3682.17,,1.0648,1.0596,0.995
int,6.00,3036027392,883824,23111.04148,823462.55,3272.478949,825867.8,5016.465348,,3435.10,3686.90,3676.17,,1.0733,1.0702,0.997
int,6.50,3422470843,1061365.95,48555.34532,922322.95,8026.036227,930300.1,8898.181487,,3224.59,3710.71,3678.89,,1.1508,1.1409,0.991
int,7.00,3825694144,1234111.1,47495.94165,1039781.5,8009.770241,1044817.55,4104.17403,,3099.96,3679.33,3661.59,,1.1869,1.1812,0.995
int,7.50,4243659659,1596788.8,130290.5417,1170879.8,6105.70393,1180546.65,7646.141919,,2657.62,3624.33,3594.66,,1.3638,1.3526,0.992
int,8.00,4674216448,1631768.9,33671.28788,1290240.6,11656.23814,1301175.7,10188.48447,,2864.51,3622.75,3592.30,,1.2647,1.2541,0.992
int,8.50,5115120067,2402835.45,131692.7717,1388994.05,6517.718066,1428718.4,6593.939645,,2128.79,3682.61,3580.22,,1.7299,1.6818,0.972
int,9.00,5573476917,2445785.1,54255.57615,1514236.15,9078.089703,1549729.85,8574.63505,,2278.81,3680.72,3596.42,,1.6152,1.5782,0.977
int,9.50,6048464248,3447017.85,82773.51829,1676250.8,11183.06305,1714304.4,7958.660449,,1754.69,3608.33,3528.23,,2.0564,2.0107,0.978
int,10.00,6528717909,3164383.95,175031.3874,1791785.65,9694.466595,1821118.8,6304.27543,,2063.19,3643.69,3585.00,,1.7661,1.7376,0.984
long,0.50,73034632,4667.05,468.9921417,4536.35,259.7000851,4880.75,738.2199697,,15648.99,16099.87,14963.81,,1.0288,0.9562,0.929
long,1.00,206425071,19805.5,1561.80973,16747,1195.685489,17368.2,1515.302353,,10422.61,12326.09,11885.23,,1.1826,1.1403,0.964
long,1.50,379503424,69284.6,1585.027325,67817.25,2170.073898,67269.45,2002.092523,,5477.46,5595.97,5641.54,,1.0216,1.0300,1.008
long,2.00,584277056,53837.6,1855.798095,44409.55,1703.692104,45459.3,1466.551167,,10852.58,13156.56,12852.75,,1.2123,1.1843,0.977
long,2.50,814780504,70697,2185.292899,62863.55,2149.494518,63713.25,1539.431504,,11524.97,12961.10,12788.24,,1.1246,1.1096,0.987
long,3.00,1073741824,93167.8,1580.643793,83226.85,2389.141098,83909.8,2149.232999,,11524.82,12901.39,12796.38,,1.1194,1.1103,0.992
long,3.50,1352899016,123729.6,2267.571305,104812.4,2016.804074,109026.1,4505.982397,,10934.32,12907.81,12408.95,,1.1805,1.1349,0.961
long,4.00,1651400568,143961.35,3218.142555,133922.5,2311.318432,133008.45,2143.463196,,11471.14,12331.02,12415.76,,1.0750,1.0823,1.007
long,4.50,1971935064,184636.15,3580.384135,163853,4649.245598,172318.2,2913.690653,,10680.11,12034.78,11443.57,,1.1268,1.0715,0.951
long,5.00,2305199161,225416.7,4116.962295,199821,3924.751779,210007.9,7212.373329,,10226.39,11536.32,10976.73,,1.1281,1.0734,0.951
long,5.50,2662500456,266833.3,11203.5037,239381.65,3221.899575,251693.2,4714.046062,,9978.14,11122.41,10578.36,,1.1147,1.0602,0.951
long,6.00,3036027392,902485.3,147621.2519,901240.8,144744.4438,898863.15,144317.6566,,3364.07,3368.72,3377.63,,1.0014,1.0040,1.003
long,6.50,3422470843,383946.5,15064.49809,334911.8,2851.548455,345258.15,6133.528102,,8913.93,10219.02,9912.79,,1.1464,1.1121,0.970
long,7.00,3825694144,497604.6,40209.54625,383646.85,4635.870273,411968.35,3303.387628,,7688.22,9971.92,9286.38,,1.2970,1.2079,0.931
long,7.50,4243659659,526208.95,18793.43116,416142.3,3534.837391,440888.9,3903.043548,,8064.59,10197.62,9625.24,,1.2645,1.1935,0.944
long,8.00,4674216448,801203.5,71076.3387,468576.4,3759.901936,497483.9,3813.308757,,5833.99,9975.36,9395.71,,1.7099,1.6105,0.942
long,8.50,5115120067,1016601.95,42545.14643,516664.95,6193.680034,550698.95,5498.887414,,5031.59,9900.27,9288.41,,1.9676,1.8460,0.938
long,9.00,5573476917,1131281.05,56306.07818,563027.4,3223.349964,601561.4,3484.050719,,4926.70,9899.12,9265.02,,2.0093,1.8806,0.936
long,9.50,6048464248,902191.2,77354.12879,606397.85,5363.333177,643211.3,5450.056041,,6704.19,9974.42,9403.54,,1.4878,1.4026,0.943
long,10.00,6528717909,1189333.65,107288.7478,653780.65,6118.942799,687493.1,6631.66029,,5489.39,9986.10,9496.41,,1.8192,1.7300,0.951